Geneid,ENSEMBL,SYMBOL,GENENAME,Fetal 1: SRX683826,Fetal 2: SRX683824,Fetal 3: SRX683825,Adult 1: SRX683793,Adult 2: SRX683794,Adult 3: SRX683797
100507111,NA,NA,NA,247,302,174,59,11,11
100507113,NA,NA,NA,274,293,189,45,3,3
100507114,ENSG00000236036,LINC00445,long intergenic non-protein coding RNA 445,0,0,1,0,0,0
100507115,NA,NA,NA,12,18,13,10,3,3
100507118,ENSG00000258725,PRC1-AS1,PRC1 antisense RNA 1,95,57,22,21,5,5
100507119,NA,NA,NA,58,78,52,41,2,2
100507120,NA,NA,NA,345,366,216,575,48,48
100507123,NA,NA,NA,0,0,1,1,0,0
100507124,NA,HMGN1P25,high mobility group nucleosome binding domain 1 pseudogene 25,0,0,2,0,0,0
100507126,NA,NA,NA,1207,1627,687,732,111,111
100507127,ENSG00000238266,LINC00707,long intergenic non-protein coding RNA 707,0,2,1,83,3,3
100507128,NA,NA,NA,269,253,129,352,59,59
100507130,NA,NA,NA,33,28,14,6,2,2
100507131,NA,NA,NA,964,859,813,763,111,111
100507132,NA,NA,NA,0,0,0,0,0,0
100507133,NA,NA,NA,62,44,65,73,8,8
100507134,NA,NA,NA,4,0,10,21,9,9
100507135,ENSG00000120664,SPART-AS1,SPART antisense RNA 1,61,61,53,25,11,11
100507136,NA,NA,NA,21,34,21,20,4,4
100507137,NA,NA,NA,175,165,126,125,14,14
100507139,NA,NA,NA,0,0,2,14,0,0
100507140,NA,LINC01792,long intergenic non-protein coding RNA 1792,0,0,1,197,13,13
100507141,NA,NA,NA,2,6,0,0,0,0
100507143,ENSG00000232170,LINC00708,long intergenic non-protein coding RNA 708,0,0,0,0,0,0
100507144,ENSG00000255521,LOC100507144,uncharacterized LOC100507144,0,0,2,0,2,2
100507145,NA,NA,NA,2920,2094,1392,575,31,31
100507146,NA,NA,NA,28,94,24,17,3,3
100507148,NA,NA,NA,814,1034,468,716,106,106
100507149,NA,NA,NA,10,12,6,4,0,0
100507150,NA,NA,NA,2277,2407,591,740,117,117
100507152,NA,NA,NA,160,136,92,180,26,26
100507153,NA,NA,NA,37,30,29,12,2,2
100507154,NA,NA,NA,1,0,0,0,0,0
100507155,NA,NA,NA,1,0,0,3,0,0
100507156,ENSG00000253837,LOC100507156,uncharacterized LOC100507156,35,57,27,82,4,4
100507159,NA,NA,NA,5,0,6,0,0,0
100507160,NA,NA,NA,0,0,0,0,0,0
100507161,NA,NA,NA,6,19,15,0,0,0
100507162,NA,NA,NA,0,0,0,0,0,0
100507163,NA,LINC00709,long intergenic non-protein coding RNA 709,0,0,0,0,0,0
100507164,NA,NA,NA,0,2,0,7,0,0
100507165,NA,NA,NA,1764,1959,637,708,96,96
100507166,NA,NA,NA,15,46,6,0,0,0
100507167,NA,NA,NA,1569,1588,747,270,25,25
100507168,NA,NA,NA,1,2,0,0,0,0
100507169,NA,NA,NA,22,22,4,0,0,0
100507170,ENSG00000226685,CT47A12,cancer/testis antigen family 47 member A12,0,0,0,0,0,0
100507171,ENSG00000225439,BOLA3-AS1,BOLA3 divergent transcript,4690,3835,3255,2733,125,125
100507172,NA,NA,NA,9,20,7,9,2,2
100507173,ENSG00000281706,LINC01012,long intergenic non-protein coding RNA 1012,589,522,437,38,2,2
100507175,ENSG00000203585,LINC02408,long intergenic non-protein coding RNA 2408,83,138,16,16,10,10
100507176,NA,NA,NA,5953,6266,3821,3090,391,391
100507177,NA,NA,NA,19,10,4,12,7,7
100507178,ENSG00000281207,SLFNL1-AS1,SLFNL1 antisense RNA 1,167,265,103,70,7,7
100507181,NA,NA,NA,0,0,0,0,0,0
100507182,NA,NA,NA,17,14,41,2985,41,41
100507183,NA,NA,NA,5,17,16,4,0,0
100507184,NA,NA,NA,1648,1400,2697,5776,57,57
100507185,NA,NA,NA,1818,881,1078,1275,109,109
100507186,NA,NA,NA,44,102,38,23,9,9
100507187,NA,NA,NA,45,46,174,129,3,3
100507190,NA,NA,NA,0,0,0,0,0,0
100507191,NA,NA,NA,101,78,43,36,2,2
100507192,NA,NA,NA,13,8,13,55,5,5
100507193,NA,NA,NA,4,9,55,15,0,0
100507194,ENSG00000230269,LINC02525,long intergenic non-protein coding RNA 2525,220,152,172,74,13,13
100507195,ENSG00000251301,LINC02384,long intergenic non-protein coding RNA 2384,12,24,4,5,0,0
100507196,NA,NA,NA,1489,1062,448,568,31,31
100507197,NA,NA,NA,0,0,1,4,0,0
100507198,NA,NA,NA,306,343,304,283,45,45
100507199,NA,NA,NA,0,0,0,0,0,0
100507200,NA,NA,NA,1,1,0,0,0,0
100507201,NA,LINC01815,long intergenic non-protein coding RNA 1815,0,0,0,0,0,0
100507202,NA,NA,NA,0,4,8,0,1,1
100507203,ENSG00000256162,SMLR1,small leucine rich protein 1,8,8,0,18,0,0
100507204,NA,NA,NA,1295,1053,1080,730,69,69
100507205,NA,LINC02740,long intergenic non-protein coding RNA 2740,0,0,0,0,0,0
100507206,ENSG00000189238,LINC00943,long intergenic non-protein coding RNA 943,2392,1705,511,384,194,194
100507207,NA,NA,NA,0,0,0,0,0,0
100507209,NA,NA,NA,6,30,6,0,0,0
100507210,ENSG00000243832,LINC02000,long intergenic non-protein coding RNA 2000,0,0,0,0,0,0
100507211,NA,NA,NA,1648,2259,2836,7541,494,494
100507212,NA,NA,NA,251,330,148,223,18,18
100507213,NA,NA,NA,1595,1272,697,247,46,46
100507214,NA,NA,NA,173,153,104,39,9,9
100507215,NA,NA,NA,0,0,0,0,0,0
100507217,NA,CHASERR,CHD2 adjacent suppressive regulatory RNA,0,0,0,0,0,0
100507218,ENSG00000267128,RNF157-AS1,RNF157 antisense RNA 1,555,568,247,339,100,100
100507221,NA,LOC100507221,uncharacterized LOC100507221,0,0,0,0,0,0
100507222,NA,NA,NA,0,0,0,0,0,0
100507224,NA,NA,NA,0,3,1,0,0,0
100507225,NA,NA,NA,17,24,10,1,8,8
100507226,NA,NA,NA,17,14,9,37,0,0
100507227,NA,NA,NA,6,5,1,19,0,0
100507228,NA,NA,NA,5,18,2,37,0,0
100507229,NA,NA,NA,190,175,74,28,6,6
100507230,NA,NA,NA,34,23,67,569,43,43
100507233,NA,NA,NA,12,20,8,4,0,0
100507235,NA,NA,NA,21,32,8,0,0,0
100507236,NA,NA,NA,0,0,0,0,0,0
100507237,NA,NA,NA,1059,907,761,848,106,106
100507238,NA,NA,NA,640,531,430,343,42,42
100507239,NA,NA,NA,399,601,217,172,15,15
100507240,ENSG00000278338,VWA8-AS1,VWA8 antisense RNA 1 (head to head),5,22,17,55,4,4
100507241,NA,NA,NA,11,5,2,15,1,1
100507242,NA,NA,NA,27,58,25,247,18,18
100507243,NA,NA,NA,927,810,362,271,17,17
100507244,ENSG00000204706,MAMDC2-AS1,MAMDC2 antisense RNA 1,9,35,7,6,0,0
100507245,NA,NA,NA,93,166,92,22,1,1
100507246,ENSG00000163597,SNHG16,small nucleolar RNA host gene 16,6754,8095,3747,1393,192,192
100507247,NA,NA,NA,24,28,26,0,2,2
100507248,NA,NA,NA,214,218,138,624,26,26
100507249,NA,C8orf17,chromosome 8 open reading frame 17,0,2,2,0,0,0
100507250,ENSG00000247363,LOC100507250,uncharacterized LOC100507250,35,53,18,29,10,10
100507252,NA,NA,NA,115,161,112,129,15,15
100507253,NA,NA,NA,8,17,15,79,10,10
100507254,ENSG00000228495,LINC01013,long intergenic non-protein coding RNA 1013,6,8,8,16,0,0
100507255,NA,NA,NA,845,688,550,253,20,20
100507256,NA,NA,NA,39,27,19,48,8,8
100507257,ENSG00000223403,MEG9,maternally expressed 9,251,224,279,1100,90,90
100507258,NA,NA,NA,61,64,26,53,7,7
100507259,NA,NA,NA,29,68,33,18,7,7
100507260,NA,NA,NA,787,615,429,291,51,51
100507261,ENSG00000235661,MIR670HG,MIR670 host gene,24,6,5,0,0,0
100507263,NA,NA,NA,20,36,16,59,4,4
100507264,NA,NA,NA,0,0,0,0,0,0
100507265,NA,NA,NA,138,222,229,241,27,27
100507266,ENSG00000247708,STX18-AS1,STX18 antisense RNA 1 (head to head),640,788,378,286,24,24
100507267,NA,LINC01187,long intergenic non-protein coding RNA 1187,0,0,0,0,0,0
100507268,NA,NA,NA,2,10,5,0,0,0
100507269,NA,NA,NA,63,72,27,155,4,4
100507271,NA,NA,NA,0,0,0,0,0,0
100507272,NA,NA,NA,33,35,18,19,0,0
100507273,NA,NA,NA,12,0,1,0,0,0
100507274,ENSG00000239513,LINC01210,long intergenic non-protein coding RNA 1210,0,0,0,0,0,0
100507276,NA,NA,NA,17,12,15,5,4,4
100507277,ENSG00000259082,LINC02314,long intergenic non-protein coding RNA 2314,0,0,0,0,0,0
100507278,NA,NA,NA,3279,1868,2903,4273,97,97
100507279,NA,NA,NA,1,1,0,0,0,0
100507280,NA,NA,NA,1248,1039,663,378,124,124
100507281,NA,NA,NA,60,38,90,19,6,6
100507282,NA,NA,NA,1104,1203,1018,1041,43,43
100507283,ENSG00000245498,LOC100507283,uncharacterized LOC100507283,719,722,392,291,84,84
100507284,NA,NA,NA,8,9,2,0,0,0
100507285,NA,NA,NA,9,7,2,3,0,0
100507286,NA,NA,NA,0,0,0,0,0,0
100507288,NA,NA,NA,2,0,2,2,2,2
100507289,NA,NA,NA,0,0,0,0,0,0
100507290,ENSG00000261221,ZNF865,zinc finger protein 865,4635,3968,1955,3756,248,248
100507291,ENSG00000248932,LOC100507291,uncharacterized LOC100507291,309,376,207,136,29,29
100507292,NA,NA,NA,223,315,448,24,3,3
100507293,NA,NA,NA,69,48,18,22,1,1
100507294,NA,NA,NA,720,977,519,105,31,31
100507295,NA,NA,NA,36,40,14,48,8,8
100507296,NA,NA,NA,2,0,2,0,0,0
100507297,NA,TMEM44-AS1,TMEM44 antisense RNA 1,1049,987,547,442,60,60
100507298,NA,NA,NA,32,38,10,14,0,0
100507299,NA,SMC5-AS1,SMC5 antisense RNA 1 (head to head),78,111,41,32,8,8
100507300,ENSG00000244926,ALKBH3-AS1,ALKBH3 antisense RNA 1,126,104,67,37,0,0
100507301,NA,NA,NA,0,0,0,0,0,0
100507302,NA,NA,NA,180,214,65,103,8,8
100507303,ENSG00000260260,SNHG19,small nucleolar RNA host gene 19,1129,958,679,378,255,255
100507304,NA,NA,NA,594,974,316,124,22,22
100507305,NA,NA,NA,7,14,15,19,0,0
100507306,NA,NA,NA,88,219,46,91,7,7
100507307,NA,NA,NA,0,0,0,2,0,0
100507308,ENSG00000227954,TARID,TCF21 antisense RNA inducing promoter demethylation,0,0,0,9,0,0
100507309,NA,NA,NA,313,379,243,490,29,29
100507311,NA,NA,NA,8,6,5,0,6,6
100507312,NA,NA,NA,0,0,0,0,0,0
100507313,NA,NA,NA,2384,3459,922,660,305,305
100507314,NA,NA,NA,819,590,345,88,47,47
100507315,NA,NA,NA,119,106,109,584,116,116
100507316,ENSG00000253716,MINCR,MYC-induced long non-coding RNA,424,542,231,451,103,103
100507317,NA,NA,NA,533,291,342,250,36,36
100507318,NA,NA,NA,17,24,11,5,1,1
100507319,NA,NA,NA,14,28,28,325,65,65
100507321,NA,ERVK13-1,endogenous retrovirus group K13 member 1,3516,3559,2847,1865,177,177
100507322,NA,NA,NA,3036,1593,1559,1335,115,115
100507325,NA,NA,NA,0,4,13,8,0,0
100507326,NA,NA,NA,9,10,6,15,21,21
100507327,NA,NA,NA,0,0,0,0,0,0
100507328,NA,NA,NA,9,14,9,4,0,0
100507329,NA,NA,NA,0,8,3,153,24,24
100507330,NA,NA,NA,12,10,5,7,0,0
100507331,ENSG00000272589,ZSWIM8-AS1,ZSWIM8 antisense RNA 1,206,104,76,77,12,12
100507332,NA,NA,NA,14,24,12,10,1,1
100507333,NA,NA,NA,986,1017,594,1093,175,175
100507334,ENSG00000261760,LOC100507334,two pore channel 3 pseudogene,0,0,0,0,0,0
100507335,NA,NA,NA,10,0,1,0,0,0
100507336,ENSG00000228793,LOC100507336,uncharacterized LOC100507336,22,22,40,928,25,25
100507337,NA,NA,NA,18,20,18,0,1,1
100507338,NA,NA,NA,129,171,134,1412,149,149
100507339,NA,NA,NA,0,0,0,0,0,0
100507341,ENSG00000253457,SMIM18,small integral membrane protein 18,1028,1054,1113,369,14,14
100507342,NA,NA,NA,949,823,433,229,39,39
100507343,NA,NA,NA,26,10,11,10,6,6
100507344,NA,NA,NA,36,123,155,0,4,4
100507345,NA,NA,NA,322,508,242,261,33,33
100507346,NA,LOC100507346,uncharacterized LOC100507346,37,57,23,8,3,3
100507347,ENSG00000229124,VIM-AS1,VIM antisense RNA 1,114,147,98,48,26,26
100507348,NA,NA,NA,0,4,1,3,0,0
100507349,NA,NA,NA,0,0,0,0,0,0
100507351,NA,LOC100507351,uncharacterized LOC100507351,46,214,281,607,182,182
100507352,NA,NA,NA,8,12,3,35,16,16
100507353,NA,NA,NA,306,366,161,69,13,13
100507355,NA,NA,NA,13,2,5,1,0,0
100507358,NA,NA,NA,6091,6841,1938,483,4,4
100507359,NA,NA,NA,305,74,60,94,19,19
100507360,NA,NA,NA,94,76,39,81,11,11
100507362,ENSG00000224582,LINC01015,long intergenic non-protein coding RNA 1015,0,0,0,0,0,0
100507363,NA,NA,NA,0,0,0,0,0,0
100507364,NA,NA,NA,109,46,57,158,17,17
100507367,NA,NA,NA,381,491,510,4942,514,514
100507369,NA,NA,NA,7,3,1,3,0,0
100507370,NA,NA,NA,81,90,45,32,12,12
100507371,NA,NA,NA,9,4,7,14,0,0
100507372,NA,NA,NA,743,888,561,339,47,47
100507373,ENSG00000267169,LOC100507373,uncharacterized LOC100507373,597,566,217,159,19,19
100507374,NA,NA,NA,0,0,0,0,0,0
100507375,NA,NA,NA,6,1,4,0,0,0
100507376,NA,NA,NA,266,215,264,423,87,87
100507377,ENSG00000251138,LINC02882,long intergenic non-protein coding RNA 2882,0,0,0,35,0,0
100507378,NA,NA,NA,13,8,0,4,0,0
100507380,NA,NA,NA,1018,1093,620,1149,103,103
100507381,NA,KCNQ5-IT1,KCNQ5 intronic transcript 1,1,0,16,7,0,0
100507382,NA,NA,NA,55,68,20,21,3,3
100507383,NA,NA,NA,170,134,76,256,32,32
100507384,ENSG00000254519,LOC100507384,uncharacterized LOC100507384,0,0,0,0,0,0
100507386,NA,NA,NA,0,2,0,181,3,3
100507387,NA,NA,NA,397,601,356,305,42,42
100507389,ENSG00000243818,LOC100507389,uncharacterized LOC100507389,0,0,0,0,0,0
100507390,NA,NA,NA,8,0,3,14,14,14
100507391,ENSG00000237222,LINC01968,long intergenic non-protein coding RNA 1968,0,0,0,3,0,0
100507392,ENSG00000254703,SENCR,smooth muscle and endothelial cell enriched migration/differentiation-associated lncRNA,24,15,14,62,21,21
100507395,NA,LOC100507395,uncharacterized LOC100507395,0,0,0,0,0,0
100507396,NA,NA,NA,0,0,0,0,0,0
100507397,NA,NA,NA,214,268,349,5557,551,551
100507398,ENSG00000236778,INTS6-AS1,INTS6 antisense RNA 1,387,409,208,163,25,25
100507399,NA,NA,NA,3,6,2,9,0,0
100507400,NA,NA,NA,276,85,300,1038,175,175
100507401,ENSG00000247675,LRP4-AS1,LRP4 antisense RNA 1,108,79,25,47,7,7
100507402,NA,NA,NA,0,6,6,12,0,0
100507403,ENSG00000253123,LOC100507403,uncharacterized LOC100507403,330,559,235,18,13,13
100507404,ENSG00000224533,TMLHE-AS1,TMLHE antisense RNA 1,0,0,0,0,0,0
100507405,NA,NA,NA,2327,1835,846,1464,139,139
100507406,ENSG00000234956,LINC02539,long intergenic non-protein coding RNA 2539,1,0,3,0,0,0
100507407,NA,NA,NA,193,341,256,386,44,44
100507408,NA,NA,NA,0,0,0,0,0,0
100507410,NA,C1QTNF1-AS1,C1QTNF1 antisense RNA 1,0,0,0,0,7,7
100507411,NA,NA,NA,230,192,71,28,9,9
100507412,NA,LOC100507412,uncharacterized LOC100507412,0,0,0,0,0,0
100507413,NA,NA,NA,71,128,88,87,10,10
100507416,NA,NA,NA,4,4,2,0,0,0
100507417,NA,NA,NA,44,38,34,158,13,13
100507418,NA,NA,NA,959,933,724,257,34,34
100507419,NA,MMP25-AS1,MMP25 antisense RNA 1,970,415,606,782,50,50
100507420,ENSG00000253414,LINC01605,long intergenic non-protein coding RNA 1605,0,4,15,53,7,7
100507421,ENSG00000261115,TMEM178B,transmembrane protein 178B,1479,924,724,130,9,9
100507423,ENSG00000269956,MKNK1-AS1,MKNK1 antisense RNA 1,128,169,70,126,4,4
100507424,NA,NA,NA,256,316,93,159,15,15
100507425,NA,NA,NA,6,6,1,0,0,0
100507427,NA,NA,NA,31,25,23,737,5,5
100507428,ENSG00000234787,LINC00458,long intergenic non-protein coding RNA 458,2,0,0,0,0,0
100507429,NA,NA,NA,4,4,18,8,0,0
100507430,NA,NA,NA,0,5,1,0,0,0
100507431,NA,LINC02551,long intergenic non-protein coding RNA 2551,5,12,5,13,3,3
100507433,ENSG00000267470,ZNF571-AS1,ZNF571 antisense RNA 1,4421,3460,2493,553,97,97
100507435,ENSG00000253267,DLGAP2-AS1,DLGAP2 antisense RNA 1,0,0,2,0,0,0
100507436,ENSG00000204520,MICA,MHC class I polypeptide-related sequence A,7,9,0,6,0,0
100507437,ENSG00000251602,LOC100507437,uncharacterized LOC100507437,971,1113,482,391,52,52
100507438,NA,NA,NA,0,0,0,0,1,1
100507439,NA,NA,NA,2,13,14,127,5,5
100507440,NA,NA,NA,1327,1909,819,510,46,46
100507441,NA,NA,NA,7,2,1,0,0,0
100507442,NA,NA,NA,260,233,183,151,14,14
100507443,NA,LOC100507443,uncharacterized LOC100507443,0,0,1,0,0,0
100507444,NA,PPP1R2P1,protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 1,0,0,0,0,0,0
100507445,NA,NA,NA,6,6,4,2,0,0
100507447,NA,NA,NA,72,87,89,243,26,26
100507448,NA,NA,NA,292,348,319,1011,533,533
100507449,NA,NA,NA,172,265,56,184,14,14
100507450,NA,NA,NA,2,4,9,30,0,0
100507452,NA,NA,NA,22,15,43,866,44,44
100507453,NA,NA,NA,0,0,0,0,0,0
100507454,NA,NA,NA,3,0,6,0,0,0
100507455,NA,NA,NA,407,379,202,1654,95,95
100507456,NA,NA,NA,114,184,75,43,31,31
100507457,NA,NA,NA,297,317,218,306,46,46
100507458,NA,ZNF213-AS1,ZNF213 antisense RNA 1 (head to head),1698,1456,816,619,72,72
100507459,ENSG00000225377,NRSN2-AS1,NRSN2 antisense RNA 1,986,898,550,337,81,81
100507460,NA,NA,NA,766,1136,1122,870,58,58
100507461,ENSG00000241131,LINC02032,long intergenic non-protein coding RNA 2032,0,3,4,1,2,2
100507462,ENSG00000279968,CCDC28A-AS1,CCDC28A antisense RNA 1,218,190,86,113,18,18
100507463,ENSG00000204261,PSMB8-AS1,PSMB8 antisense RNA 1 (head to head),0,0,0,0,0,0
100507464,ENSG00000253380,LOC100507464,uncharacterized LOC100507464,0,0,0,0,0,0
100507465,NA,NA,NA,6,8,0,24,1,1
100507466,NA,DPH6-DT,DPH6 divergent transcript,21,20,28,167,47,47
100507467,NA,NA,NA,0,0,0,0,0,0
100507468,ENSG00000234215,CT66,cancer/testis associated transcript 66,65,73,22,29,4,4
100507470,ENSG00000234942,GRID1-AS1,GRID1 antisense RNA 1,31,27,26,27,0,0
100507473,NA,NA,NA,42867,30972,34171,32484,2343,2343
100507474,NA,NA,NA,176,187,219,69,14,14
100507475,ENSG00000231908,IDH1-AS1,IDH1 antisense RNA 1,27,25,4,16,15,15
100507476,NA,NA,NA,4,0,0,0,0,0
100507477,ENSG00000236013,LOC100507477,uncharacterized LOC100507477,0,3,2,4,0,0
100507478,NA,NA,NA,0,0,0,0,0,0
100507479,NA,NA,NA,0,4,1,0,14,14
100507480,NA,LINC02853,long intergenic non-protein coding RNA 2853,0,0,2,0,1,1
100507481,NA,NA,NA,0,0,0,0,1,1
100507482,NA,NA,NA,6,0,4,98,2,2
100507483,NA,NA,NA,0,0,0,0,0,0
100507484,NA,NA,NA,0,0,2,4,0,0
100507485,NA,NA,NA,0,0,0,0,0,0
100507486,NA,NA,NA,1112,872,881,833,85,85
100507487,ENSG00000251432,LINC02615,long intergenic non-protein coding RNA 2615,116,109,47,68,23,23
100507488,NA,NA,NA,41,47,28,17,6,6
100507489,NA,LINC01277,long intergenic non-protein coding RNA 1277,77,77,130,114,7,7
100507491,NA,NA,NA,0,0,0,0,0,0
100507492,NA,NA,NA,28,16,17,0,0,0
100507493,NA,NA,NA,13590,11871,7566,2459,805,805
100507494,NA,NA,NA,10,9,2,38,2,2
100507495,ENSG00000234684,SDCBP2-AS1,SDCBP2 antisense RNA 1,676,670,369,371,40,40
100507496,NA,NA,NA,0,3,1,0,0,0
100507497,NA,NA,NA,46,49,24,27,2,2
100507498,NA,NA,NA,0,0,2,8,2,2
100507499,NA,NA,NA,668,765,533,865,173,173
100507500,ENSG00000224057,EGFR-AS1,EGFR antisense RNA 1,4,0,2,2,6,6
100507501,NA,LINC01569,long intergenic non-protein coding RNA 1569,96,98,55,182,24,24
100507502,NA,NA,NA,208,240,122,168,60,60
100507503,NA,NA,NA,3431,3001,1015,220,37,37
100507505,NA,NA,NA,0,0,0,0,0,0
100507506,ENSG00000234817,ECI2-DT,ECI2 divergent transcript,20,36,46,34,13,13
100507507,NA,LOC100507507,uncharacterized LOC100507507,629,646,435,715,77,77
100507508,NA,NA,NA,284,393,215,65,18,18
100507509,NA,NA,NA,19,6,2,6,0,0
100507510,NA,NA,NA,4,4,2,4,0,0
100507511,NA,NA,NA,6,4,4,0,0,0
100507513,NA,LOC100507513,uncharacterized LOC100507513,0,0,0,0,4,4
100507514,NA,NA,NA,104,189,12,225,12,12
100507515,NA,NA,NA,8,6,11,4,2,2
100507516,ENSG00000237807,LOC100507516,uncharacterized LOC100507516,45,72,74,49,28,28
100507518,NA,NA,NA,22,12,6,0,0,0
100507519,NA,NA,NA,7,11,13,2,2,2
100507520,NA,NA,NA,3009,4895,2495,3460,582,582
100507521,ENSG00000255553,LINC02733,long intergenic non-protein coding RNA 2733,0,0,0,0,3,3
100507522,NA,NA,NA,1676,1903,1039,1183,186,186
100507523,NA,NA,NA,3,4,1,0,0,0
100507524,ENSG00000243069,ARHGEF26-AS1,ARHGEF26 antisense RNA 1,311,332,441,2368,803,803
100507525,NA,NA,NA,2,6,0,4,0,0
100507527,ENSG00000267465,THEG5,testis highly expressed protein 5,0,0,0,0,0,0
100507528,ENSG00000248330,LINC00613,long intergenic non-protein coding RNA 613,0,0,0,0,0,0
100507530,NA,MCPH1-AS1,MCPH1 antisense RNA 1,376,447,122,233,38,38
100507531,NA,NA,NA,1,0,0,31,0,0
100507533,ENSG00000227640,SOX21-AS1,SOX21 antisense divergent transcript 1,1516,1965,503,1200,463,463
100507534,ENSG00000261325,LINC02192,long intergenic non-protein coding RNA 2192,12,10,29,859,40,40
100507535,NA,NA,NA,14,21,14,79,21,21
100507536,NA,NA,NA,0,4,11,0,0,0
100507537,ENSG00000240045,STRIT1,small transmembrane regulator of ion transport 1,9,1,5,4,1,1
100507538,NA,NA,NA,8,7,7,10,0,0
100507539,NA,NA,NA,346,490,256,1408,133,133
100507540,ENSG00000225434,LINC01504,long intergenic non-protein coding RNA 1504,7,6,6,0,2,2
100507542,NA,NA,NA,0,0,0,0,0,0
100507545,NA,NA,NA,43,44,17,4,1,1
100507546,NA,NA,NA,0,7,6,11,3,3
100507547,ENSG00000284954,LOC100507547,uncharacterized LOC100507547,0,1,5,23,0,0
100507548,NA,LOC100507548,uncharacterized LOC100507548,0,4,0,0,0,0
100507550,NA,NA,NA,4,0,15,4,4,4
100507551,ENSG00000269439,LOC100507551,uncharacterized LOC100507551,217,269,91,153,10,10
100507552,NA,NA,NA,71,143,41,9,0,0
100507553,NA,NA,NA,4,4,5,0,0,0
100507554,NA,RPL37A-DT,RPL37A divergent transcript,31,39,22,40,21,21
100507555,NA,NA,NA,239,305,245,39,11,11
100507556,NA,NA,NA,4,14,0,2,0,0
100507557,ENSG00000235652,FBXO30-DT,FBXO30 divergent transcript,694,628,447,1100,158,158
100507558,NA,NA,NA,241,398,111,84,4,4
100507559,NA,NA,NA,0,2,0,3,0,0
100507560,NA,LOC100507560,uncharacterized LOC100507560,4,0,10,203,31,31
100507562,NA,LOC100507562,uncharacterized LOC100507562,0,0,0,0,0,0
100507563,NA,NA,NA,720,899,196,166,48,48
100507564,ENSG00000226754,LOC100507564,uncharacterized LOC100507564,4031,4145,3305,946,146,146
100507566,NA,NA,NA,0,0,1,1,1,1
100507567,ENSG00000269386,RAB11B-AS1,RAB11B antisense RNA 1,188,355,108,332,38,38
100507568,NA,NA,NA,30,34,56,120,21,21
100507570,NA,NA,NA,23,25,12,15,3,3
100507571,NA,NA,NA,8,4,7,3,0,0
100507572,NA,NA,NA,0,0,0,0,0,0
100507573,NA,NA,NA,6869,6670,3342,2873,318,318
100507574,NA,NA,NA,4,16,0,7,1,1
100507575,NA,NA,NA,48,30,65,1681,84,84
100507576,NA,NA,NA,0,0,0,0,0,0
100507577,NA,NA,NA,3470,3321,2296,2944,398,398
100507578,NA,NA,NA,0,1,0,0,0,0
100507580,NA,NA,NA,174,249,195,196,2,2
100507581,NA,NA,NA,2,0,1,48,8,8
100507582,ENSG00000235831,BHLHE40-AS1,BHLHE40 antisense RNA 1,10,12,2,73,7,7
100507584,ENSG00000249346,LINC01016,long intergenic non-protein coding RNA 1016,0,2,0,8,0,0
100507587,NA,NA,NA,13,26,37,6,0,0
100507588,ENSG00000260001,TGFBR3L,transforming growth factor beta receptor 3 like,39,31,6,1019,39,39
100507589,NA,NAGPA-AS1,NAGPA antisense RNA 1,113,130,23,163,54,54
100507590,NA,NA,NA,1064,1299,535,133,24,24
100507591,NA,NA,NA,2,6,0,3,0,0
100507592,NA,NA,NA,4,2,0,0,0,0
100507593,NA,NA,NA,2052,2441,2549,7018,339,339
100507594,NA,NA,NA,5,4,0,18,2,2
100507596,NA,NA,NA,0,0,2,0,0,0
100507599,NA,LOC100507599,uncharacterized LOC100507599,1709,1807,1033,1277,150,150
100507600,ENSG00000226806,LCT-AS1,LCT antisense RNA 1,0,0,0,0,0,0
100507601,NA,NA,NA,0,0,0,6,0,0
100507602,ENSG00000248275,TRIM52-AS1,TRIM52 antisense RNA 1 (head to head),1354,1357,1002,732,77,77
100507603,NA,NA,NA,21,6,14,4,0,0
100507604,NA,NA,NA,11,4,5,6,4,4
100507605,ENSG00000235824,LINC00837,long intergenic non-protein coding RNA 837,0,0,0,0,0,0
100507607,ENSG00000196993,NPIPB9,nuclear pore complex interacting protein family member B9,0,0,0,0,0,0
100507608,ENSG00000212659,KRTAP9-6,keratin associated protein 9-6,0,0,0,0,0,0
100507609,NA,NA,NA,0,0,0,0,0,0
100507610,NA,NA,NA,5,11,26,2,0,0
100507611,NA,NA,NA,48,9,14,17,15,15
100507612,ENSG00000235532,LINC00402,long intergenic non-protein coding RNA 402,1,0,2,2,0,0
100507613,NA,NA,NA,0,4,5,0,0,0
100507614,NA,NA,NA,133,92,72,55,5,5
100507615,NA,NA,NA,16,10,3,5,0,0
100507616,NA,LINC02397,long intergenic non-protein coding RNA 2397,56,99,87,4,0,0
100507618,NA,NA,NA,1179,585,459,166,10,10
100507619,NA,NA,NA,1242,1128,419,421,35,35
100507620,NA,NA,NA,48673,58866,33154,45486,6722,6722
100507624,NA,NA,NA,140,74,74,49,15,15
100507625,NA,NA,NA,0,2,0,0,0,0
100507626,NA,NA,NA,0,3,2,13,1,1
100507627,NA,NA,NA,40,19,38,8,1,1
100507628,NA,NA,NA,24,36,50,62,7,7
100507629,ENSG00000226995,LINC00658,long intergenic non-protein coding RNA 658,14,23,4,3,4,4
100507630,NA,NA,NA,24,16,17,7,0,0
100507631,NA,NA,NA,6,15,7,11,0,0
